Urdu Text,Roman Transliteration
انکہ سے دور نہ ہو دل سے اتر جائے گا,aañkh se duur na ho dil se utar jāegā
وقت کا کیا ہے گزرتا ہے گزر جائے گا,vaqt kā kyā hai guzartā hai guzar jāegā
اتنا مانوس نہ ہو خلوت غم سے اپنی,itnā mānūs na ho ḳhalvateġham se apnī
تو کبہی خود کو بہی دیکہے گا تو ڈر جائے گا,tū kabhī ḳhud ko bhī dekhegā to dar jāegā
ڈوبتے ڈوبتے کشتی کو اچہالا دے دوں,dūbte dūbte kashtī ko uchhālā de duuñ
میں نہیں کوئی تو ساحل پہ اتر جائے گا,maiñ nahīñ koī to sāhil pe utar jāegā
زندگی تیری عطا ہے تو یہ جانے والا,zindagī terī atā hai to ye jaane vaalā
تیری بخشش تری دہلیز پہ دہر جائے گا,terī baḳhshish tirī dahlīz pe dhar jāegā
ضبط لازم ہے مگر دکہ ہے قیامت کا فرازؔ,zabt lāzim hai magar dukh hai qayāmat kā farāz
ظالم اب کے بہی نہ روئے گا تو مر جائے گا,zālim ab ke bhī na roegā to mar jāegā
عاشقی میں میرؔ جیسے خواب مت دیکہا کرو,āshiqī meñ mīr jaise ḳhvāb mat dekhā karo
باؤلے ہو جاؤ گے مہتاب مت دیکہا کرو,bāvle ho jāoge mahtāb mat dekhā karo
جستہ جستہ پڑہ لیا کرنا مضامین وفا,jasta jasta paḍh liyā karnā mazāmīnevafā
پر کتاب عشق کا ہر باب مت دیکہا کرو,par kitābeishq kā har baab mat dekhā karo
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں,is tamāshe meñ ulat jaatī haiñ aksar kashtiyāñ
ڈوبنے والوں کو زیر اب مت دیکہا کرو,dūbne vāloñ ko zereāb mat dekhā karo
مے کدے میں کیا تکلف مے کشی میں کیا حجاب,maikade meñ kyā takalluf maikashī meñ kyā hijāb
بزم ساقی میں ادب اداب مت دیکہا کرو,bazmesāqī meñ adab ādāb mat dekhā karo
ہم سے درویشوں کے گہر اؤ تو یاروں کی طرح,ham se durveshoñ ke ghar aao to yāroñ kī tarah
ہر جگہ خس خانہ و برفاب مت دیکہا کرو,har jagah ḳhasḳhāna o barfāb mat dekhā karo
مانگے تانگے کی قبائیں دیر تک رہتی نہیں,māñgetāñge kī qabāeñ der tak rahtī nahīñ
