Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
شیخ کی مجلس میں بہی مفلس کی کچہ پرسش نہیں,shaiḳh kī majlis meñ bhī muflis kī kuchh pursish nahīñ,ش ی خ   ک ی   م ج ل س   م ی ں   ب ہ ی   م ف ل س   ک ی   ک چ ہ   پ ر س ش   ن ہ ی ں,s h a i ḳ h   k ī   m a j l i s   m e ñ   b h ī   m u f l i s   k ī   k u c h h   p u r s i s h   n a h ī ñ
جسے اب حیات بہی سم ہے,jise ābehayāt bhī sam hai,ج س ے   ا ب   ح ی ا ت   ب ہ ی   س م   ہ ے,j i s e   ā b e h a y ā t   b h ī   s a m   h a i
ہجر کے دالان اور انگن میں بس اک سایہ زندہ تہا,hijr ke dālān aur āñgan meñ bas ik saaya zinda thā,ہ ج ر   ک ے   د ا ل ا ن   ا و ر   ا ن گ ن   م ی ں   ب س   ا ک   س ا ی ہ   ز ن د ہ   ت ہ ا,h i j r   k e   d ā l ā n   a u r   ā ñ g a n   m e ñ   b a s   i k   s a a y a   z i n d a   t h ā
نہ کہہ کہ گریہ بہ مقدار حسرت دل ہے,na kah ki girya bamiqdārehasratedil hai,ن ہ   ک ہ ہ   ک ہ   گ ر ی ہ   ب ہ   م ق د ا ر   ح س ر ت   د ل   ہ ے,n a   k a h   k i   g i r y a   b a m i q d ā r e h a s r a t e d i l   h a i
اچہا اگر نہ ہو تو مسیحا کا کیا علاج,achchhā agar na ho to masīhā kā kyā ilaaj,ا چ ہ ا   ا گ ر   ن ہ   ہ و   ت و   م س ی ح ا   ک ا   ک ی ا   ع ل ا ج,a c h c h h ā   a g a r   n a   h o   t o   m a s ī h ā   k ā   k y ā   i l a a j
انجیل رفتگاں کی حدیثوں کے ساتہ ہوں,injīleraftagāñ kī hadīsoñ ke saath huuñ,ا ن ج ی ل   ر ف ت گ ا ں   ک ی   ح د ی ث و ں   ک ے   س ا ت ہ   ہ و ں,i n j ī l e r a f t a g ā ñ   k ī   h a d ī s o ñ   k e   s a a t h   h u u ñ
سات پردوں میں نہیں ٹہہرتی انکہ,saat pardoñ meñ nahīñ thahartī aañkh,س ا ت   پ ر د و ں   م ی ں   ن ہ ی ں   ٹ ہ ہ ر ت ی   ا ن ک ہ,s a a t   p a r d o ñ   m e ñ   n a h ī ñ   t h a h a r t ī   a a ñ k h
قلق گر یہی ہے تو راز نہانی,qalaq gar yahī hai to rāzenihānī,ق ل ق   گ ر   ی ہ ی   ہ ے   ت و   ر ا ز   ن ہ ا ن ی,q a l a q   g a r   y a h ī   h a i   t o   r ā z e n i h ā n ī
اب و گل کے کہیل کو اپنا جہاں سمجہا تہا میں,aab o gil ke khel ko apnā jahāñ samjhā thā maiñ,ا ب   و   گ ل   ک ے   ک ہ ی ل   ک و   ا پ ن ا   ج ہ ا ں   س م ج ہ ا   ت ہ ا   م ی ں,a a b   o   g i l   k e   k h e l   k o   a p n ā   j a h ā ñ   s a m j h ā   t h ā   m a i ñ
انکہیں ہی ملاتی ہیں زمانے میں دلوں کو,āñkheñ hī milātī haiñ zamāne meñ diloñ ko,ا ن ک ہ ی ں   ہ ی   م ل ا ت ی   ہ ی ں   ز م ا ن ے   م ی ں   د ل و ں   ک و,ā ñ k h e ñ   h ī   m i l ā t ī   h a i ñ   z a m ā n e   m e ñ   d i l o ñ   k o
جو حسرت مند تیرے سایۂ دامن کے بیٹہے ہیں,jo hasratmand tere sāyaedāman ke baithe haiñ,ج و   ح س ر ت   م ن د   ت ی ر ے   س ا ی ہ ٔ   د ا م ن   ک ے   ب ی ٹ ہ ے   ہ ی ں,j o   h a s r a t m a n d   t e r e   s ā y a e d ā m a n   k e   b a i t h e   h a i ñ
سدہ لے گہر کی بہی شعلۂ اواز,sudh le ghar kī bhī sholaeāvāz,س د ہ   ل ے   گ ہ ر   ک ی   ب ہ ی   ش ع ل ۂ   ا و ا ز,s u d h   l e   g h a r   k ī   b h ī   s h o l a e ā v ā z
کہنے کو رہتے ہو دل میں,kahne ko rahte ho dil meñ,ک ہ ن ے   ک و   ر ہ ت ے   ہ و   د ل   م ی ں,k a h n e   k o   r a h t e   h o   d i l   m e ñ
وجد ا گیا فلک کو غش ا گیا زمیں کو,vajd aa gayā falak ko ġhash aa gayā zamīñ ko,و ج د   ا   گ ی ا   ف ل ک   ک و   غ ش   ا   گ ی ا   ز م ی ں   ک و,v a j d   a a   g a y ā   f a l a k   k o   ġ h a s h   a a   g a y ā   z a m ī ñ   k o
وہ بہی سر مقتل ہے کہ سچ جس کا تہا شاہد,vo bhī saremaqtal hai ki sach jis kā thā shāhid,و ہ   ب ہ ی   س ر   م ق ت ل   ہ ے   ک ہ   س چ   ج س   ک ا   ت ہ ا   ش ا ہ د,v o   b h ī   s a r e m a q t a l   h a i   k i   s a c h   j i s   k ā   t h ā   s h ā h i d
